code,name,latitude,longitude,count,hours
OHKI,Kingston,39.4667,-82.8667,1049,44
IDNA,Nampa,43.568,-116.6729,1048,82
NJAS,Assunpink,40.16,-74.4242,1030,50
LARR,Red River N.W.R.,32.3625,-93.6164,1025,46.8
TXBF,Buffalo Bayou,29.7715,-95.5699,1004,110
FLIS,Ichetucknee-Santa Fe-O'Leno,29.9335,-82.6785,1000,91
OHCF,Cuyahoga Falls,41.1338,-81.4832,999,203.3
NVCC,Carson City,39.1766,-119.7332,989,72.8
CACS,Crystal Springs,37.5184,-122.3751,988,295.7
OHLE,Lake Erie Islands,41.6807,-82.7545,981,92
PAPS,Pittsburgh South Hills,40.2828,-80.0542,976,47
TNNA,Nashville,36.0545,-86.9287,975,58.2
MANE,Newburyport,42.7398,-70.8987,963,139.2
KSQU,Quivira N.W.R.,38.15,-98.4833,960,26
VASL,Shenandoah N.P.-Luray,38.5948,-78.4572,959,86
OHDR,Delaware Reservoir,40.3954,-83.0533,947,84.4
ONTO,Toronto,43.7086,-79.4104,929,222.5
NJMA,Marmora,39.2647,-74.6472,927,37.5
NYCT,Catskill-Coxsackie,42.2871,-73.8823,891,73.7
WATA,Tacoma,47.2335,-122.5167,889,154.8
MDWC,Washington County,39.5656,-77.7308,887,53.2
OHAC,Adams County,38.7953,-83.5461,886,74
TXGC,Gibbons Creek,30.5833,-96,883,52.3
KYLE,Lexington,37.9227,-84.4719,869,55
PAWC,West Chester,39.96,-75.6047,866,103
CACO,Chico,39.722,-121.8238,865,108
CAGV,Grass Valley,39.2302,-121.1359,862,126
TXBE,Beech Creek,30.7667,-94.2,860,44.7
TXCS,College Station,30.593,-96.3175,859,97
NYSC,Southern Columbia County,42.1141,-73.6343,855,123.3
NYSC,Southern Columbia County,42.1141,-73.6343,855,123.3
OHEF,East Fork Lake S.P.,38.9871,-84.0253,850,39
NCAR,Alligator River N.W.R.,35.77,-76.08,849,70.4
NEBO,Branched Oak-Seward,40.9378,-96.9759,846,51.3
UTJR,Jordan River,40.4526,-111.9135,843,59
VABL,Blacksburg,37.2153,-80.469,840,103.2
VANN,Newport News,37.0799,-76.3956,839,103.8
DERE,Rehoboth,38.6035,-75.1073,832,89.2
MOMS,Maramec Spring,37.9594,-91.5698,831,35.3
WVCT,Charles Town,39.3319,-77.8512,831,64.2
VAWB,Washington's Birthplace,38.1143,-76.9478,828,60.5
OHRA,Ragersville,40.4398,-81.6288,827,309
OKTI,Tishomingo N.W.R.,34.1833,-96.65,824,42
NYAC,Albany County,42.5046,-73.898,824,67
KSAC,Arkansas City,37.0382,-97.0393,823,31
NCCH,Cape Hatteras,35.2188,-75.6067,821,81.1
MTBL,Billings,45.8167,-108.4333,814,75.7
VASR,Sandy River Reservoir,37.2344,-78.3197,810,38.5
NELI,Lincoln,40.7992,-96.7494,807,154
IDTF,Twin Falls,42.5565,-114.4635,803,55
FLEP,East Pasco,28.3103,-82.2374,800,45
FLFK,Fakahatchee,26.1486,-81.4535,800,96.5
ILEN,Evanston (north shore),42.1379,-87.7882,776,118.8
CAFO,Folsom,38.6618,-121.0974,775,210
MDDE,Denton,38.9055,-75.835,764,46.3
PAWS,Washington,40.1288,-80.2099,751,27
VACH,Chancellorsville,38.2911,-77.6744,748,54.3
TNKI,Kingsport,36.5,-82.5167,748,47.7
NCRA,Raleigh,35.7622,-78.6593,746,99.4
ALWA,Waterloo,34.8333,-88.0002,746,53.5
NCPE,Pettigrew S.P.,35.7667,-76.45,737,29.8
MOCP,Cole Camp Prairies IBA,38.5353,-93.2906,737,56.3
VANW,Nassawadox,37.4373,-75.7859,737,74
CASF,San Francisco,37.7143,-122.4689,731,312.9
CAMD,Moss Landing,36.897,-121.7407,730,237
WAKA,Kent-Auburn,47.3598,-122.1787,730,142.6
CACT,Cheep Thrills,38.1382,-122.6094,729,201
OHDC,Big and Little Darby Creek-Darbydale,39.9136,-83.2172,722,52.9
OKSP,Salt Plains N.W.R.,36.785,-98.1789,717,46.5
CAWB,Wallace-Bellota,38.1167,-120.9833,716,110.3
CAOR,Oroville,39.5178,-121.5499,712,49
TNDR,Duck River,35.9474,-87.9211,705,82.5
ALGS,Gulf Shores,30.3167,-87.6333,704,128.1
FLPS,Port St. Joe,29.7703,-85.2986,700,72
OHGY,Gypsum,41.5,-82.8667,695,56
SCLO,Lowcountry,32.3994,-80.5397,689,65.7
IDMP,Moscow-Pullman,46.7311,-117.0396,687,119.2
VAMP,Middle Peninsula,37.5254,-76.5932,686,108
VAMP,Middle Peninsula,37.5254,-76.5932,686,108
DESN,Seaford-Nanticoke,38.5845,-75.5739,684,59.7
LAPI,Palmetto Island,29.8744,-92.1384,684,80
COLO,Longmont,40.1741,-105.1734,675,107
WAPT,Port Townsend,48.05,-122.7333,671,84.4
MATR,Truro,41.9847,-70.0356,662,126
TXCY,Cypress Creek,29.9561,-95.89,661,152.3
FLDB,Daytona Beach,29.2629,-81.1173,660,60.2
GADU,Dublin,32.6297,-82.9239,657,53
NCMA,Mattamuskeet N.W.R.,35.45,-76.1333,652,57.5
FLLW,Lake Wales,27.8939,-81.5189,650,115.7
WASP,Spokane,47.7168,-117.4169,643,135.8
UTMO,Moab,38.5667,-109.45,643,61.5
KSBA,Baldwin,38.7824,-95.2713,641,28
CACR,Calero-Morgan Hill,37.1897,-121.7617,638,169
ARLR,Little Rock,34.7582,-92.2792,637,62.4
SCCG,Congaree Swamp,33.7612,-80.7476,633,96.7
VACI,Chincoteague N.W.R.,37.9672,-75.3669,629,114
VALC,Little Creek,36.8508,-76.0994,628,73.8
INMG,Mary Gray Bird Sanctuary,39.5953,-85.2198,625,6.5
FLWM,West Marion County,29.109,-82.2944,620,142
ILKV,Kankakee Valley,41.1209,-87.8674,617,95.6
KSSA,Sawyer,37.5333,-98.6833,616,19
OKFG,Fort Gibson Reservoir,35.85,-95.3167,615,43
MDSD,Southern Dorchester County,38.3617,-76.0371,613,69.2
CAPR,Point Reyes Peninsula,38.1216,-122.8901,612,318
WAKC,Kitsap County,47.6323,-122.6609,612,116.5
VALE,Lexington,37.848,-79.4769,609,63.2
TNME,Memphis,35.15,-89.9333,608,59.3
CAMA,Marysville,39.2,-121.5,608,80.3
BCWR,White Rock,49.062,-122.7289,606,155
NEAM,Ames,41.45,-96.6167,605,52
CALW,LaGrange-Waterford,37.6531,-120.5876,604,48
WALC,Lewis County,46.68,-122.9226,603,70.3
CACL,Clear Lake,38.9392,-122.7199,602,69
FLBL,Bay Lake,28.3753,-81.5496,600,106
ARHT,Hot Springs N.P.,34.4667,-93.0333,594,63
ARSR,Sylamore Ranger District,36.0367,-92.1885,593,41.7
BCVA,Vancouver,49.2603,-123.105,592,348.3
KYCF,Cumberland Falls,36.89,-84.2611,592,36.4
CAHF,Hayward-Fremont,37.6068,-122.0667,590,248
KYEK,Elkton,36.7605,-87.1016,590,36.5
TNCH,Chattanooga,35.104,-85.2292,583,35
IDBH,Buhl,42.63,-114.82,579,25.8
MOKN,Knob Noster,38.7434,-93.6264,578,40.8
UTSG,St. George,37.15,-113.6,576,38.8
TXTA,Trinity River Audubon Center,32.6407,-96.6577,573,83
TXCD,Cedar Hill,32.5931,-96.951,573,48.6
INMO,Michaela Farm-Oldenburg,39.3637,-85.1803,573,26.2
CTGS,Greenwich-Stamford,41.0826,-73.6138,566,247.5
VABR,Banister River W.M.A.,36.7327,-78.8101,566,39
WAED,Edmonds,47.8524,-122.2489,564,158.7
TXDA,Dallas County,32.8258,-96.8312,562,114.8
CADN,Del Norte County,41.8446,-124.1712,560,64.5
KYPA,Paradise,37.2776,-86.9587,560,35
VANO,Nokesville,38.622,-77.5367,559,53
BCOO,Oliver-Osoyoos,49.0787,-119.5164,558,85.2
CAAN,Año Nuevo,37.2147,-122.3182,556,230.5
MOKI,Kirksville,40.1938,-92.5829,555,46.7
NJWV,Walnut Valley,40.976,-75.0226,555,80.5
CAMS,Mount Shasta,41.5342,-122.4141,553,48.1
ILCA,Chautauqua N.W.R.,40.4167,-89.95,553,34.2
COPR,Pueblo Reservoir,38.2557,-104.7756,551,66.9
LACB,Claiborne,32.78,-92.95,551,33
FLKV,Kissimmee Valley,28.2062,-81.3936,550,64.7
NJLA,Lakehurst,40.0159,-74.1451,549,22.5
OHCA,Cadiz,40.2992,-81.0847,548,93.8
VTFE,Ferrisburg,44.1833,-73.3023,545,133
OHLK,Lakewood,41.4602,-81.8576,540,78
NJLB,Long Branch,40.2502,-74.0554,533,75.5
FLFP,Fort Pierce,27.4177,-80.3828,530,103
ILCC,Champaign County,40.0551,-88.1145,525,42.9
OHHR,Hoover Reservoir,40.1905,-82.9412,519,55.5
VADS,Dismal Swamp,36.6645,-76.4814,515,37.9
ILCU,Chicago (urban),41.9099,-87.7263,511,114
KYFR,Frankfort,38.2271,-84.8525,508,36.2
NSYA,Yarmouth,43.8302,-66.0881,507,69.6
CASM,Sacramento,38.6,-121.55,506,200.8
WAEA,East Lake Washington,47.5899,-121.9995,504,90.2
FLCO,Cocoa,28.3622,-80.7026,500,99
FLVE,Venice-Englewood,27.0048,-82.3793,500,176
FLSM,St. Marks,30.1536,-84.2227,500,128
KYSG,Sorgho,37.763,-87.2309,500,41
CAYR,Yreka,41.7495,-122.5247,495,55.9
OHPC,Paint Creek Area,39.2622,-83.445,492,26
NYNN,L.I.: Northern Nassau County,40.866,-73.5938,491,156
NBSV,Sackville,45.9042,-64.3603,488,73.3
CODE,Denver,39.587,-105.143,487,202
ILLA,Lisle Arboretum,41.7518,-87.9738,486,141
NYSR,Southern Rensselaer County,42.6157,-73.6379,480,78.2
NYCA,L.I.: Captree,40.7038,-73.2493,479,137.1
NCSM,Stone Mountain,36.3447,-81.0247,477,24
NMLS,Los Alamos,35.856,-106.2893,476,108.2
MSJC,Jackson County,30.4366,-88.7119,476,103.7
MOTR,Trimble,39.4725,-94.5647,476,56.7
DEMI,Middletown,39.4753,-75.6347,476,80.8
NYBW,Bronx-Westchester Region,40.9117,-73.7825,473,279
MANF,New Bedford,41.6,-70.8667,469,57
VAWR,Warren,37.85,-78.55,467,72
ILMI,Meredosia Island,39.8542,-90.5937,461,39
BCPE,Penticton,49.5294,-119.596,460,141
VARO,Roanoke,37.3034,-79.9446,460,32
KYEA,East Allen County,36.7426,-86.0686,458,69.5
CAOK,Oakhurst,37.33,-119.6448,457,53.9
UTLO,Logan,41.7993,-111.8333,457,79.3
OHLN,Lancaster,39.7137,-82.6019,453,41.7
CODL,Delta,38.7714,-108.0394,452,28.2
BCNN,Nanaimo,49.1668,-123.9333,452,188.7
MDCV,Chesterville,39.2762,-75.9153,449,105
NMSF,Santa Fe,35.6698,-105.9409,449,53.5
UTOG,Ogden,41.2198,-112.064,449,73
ONHA,Hamilton,43.2679,-79.8852,448,191.2
LANI,New Iberia,30.0017,-91.8949,446,57.2
NELP,Lower Platte River,41.0889,-96.2342,444,90
CAAR,Arcata,40.8653,-124.1565,444,83.8
NBCT,Cape Tormentine,46.1167,-63.9167,432,107.2
MDSA,Salisbury,38.3333,-75.7333,432,81.3
VACT,Chatham,36.8265,-79.3981,431,24.5
NCPC,Pamlico County,35.1435,-76.6526,429,82
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,428,85
ORFG,Forest Grove,45.4851,-123.1269,428,72
IDBO,Boise,43.6177,-116.1995,427,230.5
CTLS,Lakeville-Sharon,41.9449,-73.4399,424,58.8
ONSA,Sandbanks,43.892,-77.2281,424,59.3
TNBI,Bristol,36.6058,-82.0999,423,51.5
NHPH,Peterborough-Hancock,42.9167,-71.9667,423,79
MATM,Taunton-Middleboro,41.8691,-71.0324,422,71.5
MIAA,Ann Arbor,42.3172,-83.7781,421,144.6
PAST,South Butler,40.7328,-80.0276,421,55
NYQU,L.I.: Queens,40.6932,-73.7448,418,116
AZCH,Chino Valley,34.8001,-112.4,415,38
VAWP,Wachapreague,37.6707,-75.6998,414,68
UTPA,Payson,40.0437,-111.7598,413,61.9
NCCP,Chapel Hill,35.9131,-79.0558,413,153.8
KYRA,Russell-Adair County,36.9658,-85.1217,413,46
NYRH,Rochester,43.2232,-77.6413,410,110.5
FLJD,Jonathan Dickinson S.P.,26.9921,-80.1469,410,204
TNHP,Hickory-Priest,36.1926,-86.6634,408,36.5
NCMC,Morehead City,34.759,-76.7094,407,206
ONMS,Moscow,44.4167,-76.8,406,36.1
MSDG,Dahomey-Great River Road,33.7769,-90.9545,405,60
FLBC,Bay County,30.1851,-85.6719,400,100.6
NCWS,Winston-Salem,36.084,-80.3067,399,44
ILBA,Barrington,42.0668,-88.1333,397,77.2
ONNF,Niagara Falls,43.1667,-79.0667,397,78.2
VAWY,Waynesboro,37.981,-78.955,397,70.3
CTNL,New London,41.3236,-72.1007,395,109.5
KYBU,Burlington,38.9493,-84.7463,393,34.2
ONSC,St. Catharines,43.1152,-79.3675,393,106
RINT,"Napatree, RI-CT-NY",41.3222,-71.8167,391,113.5
GAAL,Atlanta,33.9667,-84.6667,391,102.5
MOWS,Weldon Spring,38.7118,-90.6904,391,46.2
CODV,Denver (urban),39.7347,-104.8753,389,129.9
LASH,Shreveport,32.5371,-93.8922,388,58.9
BCGS,Galiano-North Saltspring,48.9069,-123.4589,386,186
TXBC,Balcones Canyonlands,30.6042,-98.0179,386,116
ILWA,Waukegan,42.3493,-87.8742,382,78.6
NCCR,Charlotte,35.1765,-80.8759,380,83.7
NYSN,L.I.: Southern Nassau County,40.6298,-73.5907,380,250.7
CONJ,North Jeffco,39.8125,-105.1838,380,548
CONJ,North Jeffco,39.8125,-105.1838,380,548
CONJ,North Jeffco,39.8125,-105.1838,380,548
CONJ,North Jeffco,39.8125,-105.1838,380,548
SDPI,Pierre,44.367,-100.3463,378,59.3
WABG,Bellingham,48.8112,-122.5629,378,212
OKAN,Arnett,36.0569,-99.8103,376,20.7
KSHN,Halstead-Newton,38.0599,-97.4338,376,31.6
FLCL,Clermont,28.5404,-81.7651,375,100
CASJ,San Jose,37.4033,-121.8821,375,70.4
ORTR,Tualatin River N.W.R.,45.317,-122.83,374,7
TNEL,Elizabethton,36.3413,-82.1263,371,43
BCSS,Sidney-South Saltspring,48.6956,-123.4278,371,183
DEBH,Bombay Hook N.W.R.,39.2152,-75.4822,371,96
WVMF,Moorefield,39.0623,-78.9695,370,44.2
NYQW,L.I.: Quogue-Watermill,40.8591,-72.4524,369,56.8
NHLD,Lee-Durham,43.1667,-70.9833,369,106.7
NENP,North Platte,41.1167,-100.7999,368,34
NMDI,Dixon,36.1833,-105.9167,367,36.3
KYDA,Danville,37.6463,-84.7733,366,89.7
INWG,Western Gibson County,38.3406,-87.7807,364,61.3
NCWI,Wilmington,34.1401,-77.8936,362,85.5
NCGR,Greensboro,36.1163,-79.837,361,104.3
CAMN,Manchester,39.0347,-123.6897,357,84.5
WAEV,Everett-Marysville,48.0864,-122.2167,356,199.3
TNSA,Savannah,35.1632,-88.1666,354,55.7
ORUM,Umatilla County,45.6,-118.6667,353,13.5
NLSJ,St. Johns,47.5833,-52.7239,352,63
MOSC,Loess Bluffs (formerly Squaw Creek) N.W.R.,40.0833,-95.2667,350,53.5
FLLC,Lake City,30.1894,-82.6371,350,58.8
FLPA,Panacea,29.9908,-84.3928,350,55.5
NCBP,Bodie-Pea Island,35.7824,-75.5458,349,70.7
NJLH,Lower Hudson,40.7751,-74.0009,349,176.1
CTLH,Litchfield Hills,41.7703,-73.2724,346,110
CAEC,East Contra Costa County,37.9118,-121.678,346,74.9
VTHI,Hinesburg,44.3,-73.0333,344,57.5
SCWB,Winyah Bay,33.2458,-79.2292,343,60.1
TXAM,Amarillo,35.0196,-101.7197,342,29.3
MSJA,Jackson,32.4476,-90.004,342,59
VAGS,Glade Spring,36.7883,-81.7787,341,61.5
TXPM,Palmetto S.P.,29.5833,-97.5833,341,56.8
RISC,Scituate,41.8475,-71.6436,340,74.5
TXBN,Burnet County,30.7514,-98.275,327,96
NYTR,Troy,42.8333,-73.6568,326,61
KYWC,Wayne County,36.8972,-84.8213,325,35.5
FLSA,St. Augustine,29.9333,-81.3162,325,132.7
CTBA,Barkhamsted,41.9123,-72.9884,322,78
MNSP,St. Paul (north),45.0062,-93.1262,322,79.8
MAMI,Millis,42.1675,-71.3572,321,50.5
NJTM,Trenton Marshes,40.1918,-74.7276,321,48
FLAL,Alafia Banks,27.792,-82.3349,320,108
GARO,Roswell,34.0335,-84.3229,320,111.8
SCLW,Lake Wateree,34.3548,-80.8368,320,36.2
ORSI,Sauvie Island,45.7562,-122.8008,320,135.1
SCKE,Keowee,34.8137,-82.9787,318,77.8
TNNO,Norris,36.2242,-84.0927,318,34.9
PANV,Newville,40.1492,-77.3681,317,98
COEI,Evergreen-Idaho Springs,39.6765,-105.4264,317,148
KSMR,Marion,38.3772,-97.0748,315,24
PAYS,York Springs,40.0433,-77.0958,315,92
GAAH,Athens,33.9305,-83.3812,312,79.5
ORCG,Cottage Grove,43.7667,-123.0333,310,56.2
